Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
SP2,17/08/2019,17:00,Lugo,Extremadura UD,0,0,D,0,0,D,10,13,3,3,11,15,5,9,1,1,0,0,2.37,3.2,3,2.55,3.2,2.85,2.45,3.1,3,2.49,3.19,3.12,2.4,3.1,3,2.55,3.1,3,2.55,3.23,3.12,2.45,3.09,2.95,2.25,1.61,2.3,1.65,2.35,1.67,2.27,1.61,0,1.77,2.1,1.74,2.18,1.81,2.18,1.76,2.12,2.15,3.2,3.5,2.25,3.1,3.4,2.2,3.1,3.45,2.25,3.14,3.68,2.5,3.1,2.9,2.2,3.1,3.6,2.3,3.3,3.68,2.21,3.08,3.44,2.25,1.61,2.35,1.63,2.35,1.67,2.28,1.61,-0.25,1.9,1.95,1.91,1.99,1.94,2.02,1.89,1.96
SP2,17/08/2019,17:00,Santander,Malaga,0,1,A,0,0,D,11,5,2,4,14,14,6,4,3,2,1,0,2.87,3.1,2.55,2.95,2.9,2.65,2.85,2.9,2.7,2.89,2.97,2.84,2.9,2.88,2.62,2.9,2.9,2.8,3,3.1,2.84,2.86,2.88,2.68,2.6,1.47,2.65,1.5,2.72,1.52,2.59,1.48,0,1.98,1.88,1.96,1.93,2.02,1.94,1.97,1.88,2.05,3.1,3.8,2,3.1,4.25,1.95,3.1,4.35,2.04,3.21,4.3,2.8,2.88,2.75,1.95,3.13,4.6,2.1,3.21,4.8,1.99,3.08,4.16,2.6,1.47,2.74,1.48,2.77,1.52,2.62,1.47,-0.5,1.95,1.9,2.04,1.85,2.06,1.95,1.99,1.86
SP2,17/08/2019,18:00,Almeria,Albacete,3,0,H,0,0,D,13,2,5,0,21,19,7,0,1,1,0,0,2.37,3.1,3.1,2.4,3,3.2,2.35,3.05,3.2,2.38,3.09,3.43,2.3,3.1,3.2,2.4,3.1,3.2,2.43,3.22,3.43,2.35,3.03,3.18,2.35,1.57,2.4,1.6,2.45,1.62,2.35,1.57,-0.25,2.05,1.8,2.01,1.87,2.08,1.88,2.03,1.83,2.2,3.1,3.5,2.25,3,3.5,2.25,3.05,3.45,2.28,3.1,3.66,2.2,3.1,3.4,2.25,3.1,3.5,2.33,3.22,3.66,2.24,3.01,3.46,2.4,1.53,2.52,1.56,2.53,1.6,2.41,1.55,-0.25,1.93,1.93,1.93,1.97,1.98,1.98,1.92,1.93
SP2,17/08/2019,19:00,Elche,Fuenlabrada,0,2,A,0,2,A,5,10,1,4,14,26,4,5,2,3,0,0,1.9,3.25,4.33,2,3.2,4,1.97,3.1,4.25,2.02,3.09,4.63,1.95,3,4.4,1.95,3.13,4.5,2.03,3.27,4.63,1.98,3.1,4.15,2.6,1.47,2.64,1.5,2.72,1.52,2.6,1.48,-0.5,1.98,1.88,2.01,1.87,2.02,1.93,1.98,1.87,2.15,3.1,3.6,2.05,3.1,4,2.15,3,3.7,2.24,3.06,3.82,2.15,3,3.7,2.25,3,3.7,2.27,3.2,4.2,2.14,3.02,3.75,2.6,1.47,2.7,1.5,2.73,1.53,2.58,1.48,-0.25,1.88,1.98,1.89,2.01,1.93,2.21,1.85,2
SP2,17/08/2019,20:00,Vallecano,Mirandes,2,2,D,2,1,H,15,11,6,3,11,11,7,3,2,4,1,1,1.53,3.75,7,1.53,3.75,7,1.53,3.95,6.4,1.51,3.98,7.96,1.47,3.9,7.5,1.53,4,7,1.56,4.15,7.96,1.51,3.89,6.7,2,1.8,2.03,1.83,2.06,1.87,2,1.8,-1,1.93,1.93,1.93,1.95,1.96,1.98,1.91,1.94,1.53,3.75,7,1.53,3.75,7,1.57,3.9,6,1.56,3.83,7.2,1.52,3.8,6.5,1.55,3.8,7,1.6,4.1,7.5,1.54,3.82,6.49,2,1.8,2.03,1.85,2.04,1.9,1.97,1.82,-1,1.98,1.88,2.03,1.87,2.06,1.96,1.97,1.88
SP2,17/08/2019,20:00,Zaragoza,Tenerife,2,0,H,1,0,H,15,16,8,5,16,18,1,4,1,3,0,1,2,3.3,3.8,2,3.25,4,1.95,3.3,4.1,1.97,3.39,4.32,1.85,3.3,4.33,1.95,3.3,4.3,2,3.45,4.32,1.95,3.28,4,2.15,1.66,2.25,1.68,2.29,1.7,2.2,1.64,-0.5,1.95,1.9,1.96,1.92,2.02,1.93,1.96,1.89,1.8,3.5,4.75,1.91,3.4,4.1,1.85,3.45,4.25,1.88,3.63,4.38,1.75,3.6,4.5,1.85,3.5,4.5,2,3.64,4.75,1.86,3.46,4.22,2.05,1.75,2.05,1.83,2.12,1.85,2.03,1.77,-0.5,1.83,2.02,1.88,2.02,1.92,2.08,1.86,1.99
SP2,18/08/2019,17:00,La Coruna,Oviedo,3,2,H,1,0,H,12,14,5,4,13,19,2,7,0,3,0,0,1.75,3.3,5.25,1.78,3.3,5.25,1.77,3.25,5.1,1.83,3.09,5.97,1.75,3.25,5.25,1.8,3.25,5.4,1.86,3.38,5.97,1.78,3.18,5.19,2.5,1.5,2.69,1.49,2.69,1.55,2.5,1.5,-0.75,2.05,1.8,2.14,1.76,2.14,1.85,2.07,1.79,1.8,3.25,5.25,1.8,3.25,5,1.77,3.3,4.95,1.81,3.33,5.43,1.73,3.3,5.25,1.8,3.3,5.25,1.83,3.5,5.45,1.78,3.27,5.06,2.35,1.57,2.44,1.59,2.45,1.63,2.35,1.57,-0.75,2.05,1.8,2.09,1.81,2.13,1.85,2.06,1.8
SP2,18/08/2019,17:00,Numancia,Alcorcon,0,1,A,0,0,D,6,12,1,6,19,19,6,3,2,6,0,0,1.95,3.3,4,2,3,4.4,2,3.1,4.2,2.06,3.01,4.58,1.95,3.1,4.2,2,3.13,4.33,2.06,3.3,4.58,2,3.03,4.19,2.5,1.5,2.67,1.49,2.7,1.54,2.56,1.49,-0.5,2,1.85,2.05,1.83,2.06,1.9,2.01,1.84,2.25,3.2,3.4,2.15,3,3.8,2.25,2.95,3.55,2.31,3.01,3.7,2.25,2.9,3.5,2.38,2.9,3.6,2.38,3.2,3.95,2.25,2.93,3.58,2.7,1.44,2.79,1.47,2.79,1.51,2.65,1.46,-0.25,1.95,1.9,1.95,1.94,2,1.99,1.92,1.93
SP2,18/08/2019,17:30,Girona,Sp Gijon,1,1,D,0,0,D,21,10,6,5,11,12,4,5,2,1,0,1,2.2,3.1,3.5,2.25,2.9,3.75,2.2,3,3.65,2.21,3.12,3.8,2.15,3.1,3.6,2.2,3.1,3.7,2.28,3.2,3.85,2.19,3,3.59,2.5,1.5,2.67,1.5,2.69,1.53,2.56,1.48,-0.25,1.88,1.98,1.87,2.01,1.93,2.03,1.87,1.98,2.1,3.2,3.8,2.1,3,4,2.1,3.05,3.9,2.13,3.13,4.05,2.05,3.1,3.9,2.1,3.1,3.9,2.18,3.25,4.1,2.08,3.05,3.87,2.5,1.5,2.63,1.52,2.7,1.53,2.55,1.49,-0.25,1.8,2.05,1.81,2.1,1.86,2.11,1.79,2.07
SP2,18/08/2019,19:00,Cadiz,Ponferradina,3,1,H,0,1,A,11,6,3,2,18,17,6,4,1,2,0,1,1.66,3.5,5.5,1.67,3.4,6,1.7,3.35,5.7,1.69,3.42,6.45,1.63,3.4,6,1.7,3.4,6,1.73,3.52,6.45,1.68,3.35,5.71,2.5,1.5,2.64,1.51,2.66,1.54,2.53,1.49,-0.75,1.93,1.93,1.95,1.93,1.99,1.96,1.93,1.92,1.66,3.5,5.5,1.67,3.4,6,1.67,3.4,5.7,1.75,3.34,5.97,1.7,3.3,5.5,1.75,3.4,5.5,1.78,3.52,6.25,1.7,3.32,5.64,2.5,1.5,2.61,1.53,2.63,1.55,2.52,1.5,-0.75,2.02,1.83,2.03,1.87,2.13,1.94,1.99,1.87
