location/0,location/1,possession_team/name,player/id,timestamp,period,team/name,type/name,counterpress,pass/recipient/id,pass/outcome/name,goalkeeper/type/name,duel/outcome/name,duel/type/name,duration,pass/length,pass/cross,secs,game_time,player,end_location/0,end_location/1,end_location/2
61.0,41.0,England,3318.0,00:00:00.920,1.0,England,Pass,,3244.0,,,,,1.279,18.788294,,0.92,00:00,M Rashford,44.0,33.0,
44.0,33.0,England,3244.0,00:00:02.199,1.0,England,Ball Receipt*,,,,,,,0.0,,,2.199,00:02,J Stones,44.0,33.0,
44.0,33.0,England,3244.0,00:00:02.199,1.0,England,Carry,,,,,,,2.161,,,2.199,00:02,J Stones,45.0,36.0,
48.0,41.0,England,3457.0,00:00:03.680,1.0,Belgium,Pressure,,,,,,,0.72,,,3.68,00:03,M Batshuayi,48.0,41.0,
45.0,36.0,England,3244.0,00:00:04.360,1.0,England,Pass,,3314.0,,,,,1.359,20.615528,,4.36,00:04,J Stones,53.0,55.0,
53.0,55.0,England,3314.0,00:00:05.719,1.0,England,Ball Receipt*,,,,,,,0.0,,,5.719,00:05,P Jones,53.0,55.0,
53.0,55.0,England,3314.0,00:00:05.719,1.0,England,Carry,,,,,,,1.441,,,5.719,00:05,P Jones,56.0,62.0,
56.0,62.0,England,3314.0,00:00:07.160,1.0,England,Pass,,3664.0,,,,,1.039,12.806249,,7.16,00:07,P Jones,64.0,72.0,
64.0,72.0,England,3664.0,00:00:08.199,1.0,England,Ball Receipt*,,,,,,,0.0,,,8.199,00:08,T Alexander-Arnold,64.0,72.0,
64.0,72.0,England,3664.0,00:00:08.199,1.0,England,Carry,,,,,,,2.961,,,8.199,00:08,T Alexander-Arnold,65.0,75.0,
65.0,75.0,England,3664.0,00:00:11.160,1.0,England,Pass,,3244.0,,,,,1.439,26.400757,,11.16,00:11,T Alexander-Arnold,54.0,51.0,
54.0,51.0,England,3244.0,00:00:12.599,1.0,England,Ball Receipt*,,,,,,,0.0,,,12.599,00:12,J Stones,54.0,51.0,
54.0,51.0,England,3244.0,00:00:12.599,1.0,England,Carry,,,,,,,1.801,,,12.599,00:12,J Stones,58.0,44.0,
58.0,44.0,England,3244.0,00:00:14.400,1.0,England,Pass,,3645.0,,,,,1.76,29.068884,,14.4,00:14,J Stones,56.0,15.0,
52.0,9.0,England,6330.0,00:00:15.400,1.0,Belgium,Pressure,,,,,,,2.52,,,15.4,00:15,A Januzaj,52.0,9.0,
56.0,15.0,England,3645.0,00:00:16.160,1.0,England,Ball Receipt*,,,,,,,0.0,,,16.16,00:16,G Cahill,56.0,15.0,
