player_id,name,team,position,value,rds-played,tot-sel,avg-per-rd,rating,points-last-rd,primary-accent,Club,player_index,names_fantasy,names_stats
38401,C. Vela,Los Angeles Football Club,FWD,15.9,31,15.84%,11.71,$44K,18,363,LAFC,0.0,C. Vela-LAFC,C. Vela-LAFC
9808,Z. Ibrahimovic,LA Galaxy,FWD,14.3,29,14.40%,9.38,$53K,8,272,LA,1.0,Z. Ibrahimovic-LA,Z. Ibrahimovic-LA
111686,J. Martinez,Atlanta United FC,FWD,13.9,29,3.75%,8.07,$60K,14,234,ATL,2.0,J. Martinez-ATL,J. Martinez-ATL
173220,C. Pavon,LA Galaxy,MID,12,11,5.14%,7.73,$142K,9,85,LA,113.0,C. Pavon-LA,C. Pavon-LA
77992,N. Lodeiro,Seattle Sounders FC,MID,12.9,28,3.18%,7.71,$60K,7,216,SEA,46.0,N. Lodeiro-SEA,N. Lodeiro-SEA
88554,C. Gil,New England Revolution,MID,12.5,34,2.56%,7.59,$49K,3,258,NE,25.0,C. Gil-NE,C. Gil-NE
55831,M. Moralez,New York City FC,MID,11.3,29,4.05%,7.59,$52K,4,220,NYC,45.0,M. Moralez-NYC,M. Moralez-NYC
89238,A. Pozuelo,Toronto FC,MID,10.3,30,9.41%,7.43,$47K,9,223,TOR,11.0,A. Pozuelo-TOR,A. Pozuelo-TOR
55817,D. Valeri,Portland Timbers,MID,12.5,31,6.55%,7.29,$56K,DNP,226,POR,37.0,D. Valeri-POR,D. Valeri-POR
232274,E. Atuesta,Los Angeles Football Club,MID,11.8,30,2.77%,7.13,$56K,8,214,LAFC,112.0,E. Atuesta-LAFC,E. Atuesta-LAFC
55110,G. Bou,New England Revolution,FWD,10.7,14,1.17%,6.71,$114K,2,94,NE,35.0,G. Bou-NE,G. Bou-NE
82752,S. Taider,Montreal Impact,MID,12.1,32,0.52%,6.63,$58K,11,212,MTL,32.0,S. Taider-MTL,S. Taider-MTL
66553,M. Eriksson,San Jose Earthquakes,MID,9.8,32,2.76%,6.5,$48K,4,208,SJ,57.0,M. Eriksson-SJ,M. Eriksson-SJ
234586,A. Putna,Real Salt Lake,GK,5,5,0.76%,6.4,$157K,DNP,32,RSL,678.0,A. Putna-RSL,A. Putna-RSL
76688,J. dos Santos,LA Galaxy,MID,9.9,29,2.20%,6.38,$54K,6,185,LA,,J. dos Santos-LA,
121000,F. Brillant,D.C. United,DEF,10.4,34,2.85%,6.35,$49K,7,216,DC,169.0,F. Brillant-DC,F. Brillant-DC
83725,F. Gutierrez,Sporting Kansas City,MID,10.1,32,1.03%,6.34,$50K,6,203,SKC,,F. Gutierrez-SKC,
100819,H. Araujo dos Santos,New York City FC,FWD,9.9,22,0.90%,6.27,$72K,DNP,138,NYC,,H. Araujo dos Santos-NYC,
38530,Nani,Orlando City SC,MID,10.3,30,3.13%,6.23,$56K,1,187,ORL,,Nani-ORL,
81185,J. Gregus,Minnesota United FC,MID,10.2,30,0.92%,6.23,$55K,2,187,MIN,194.0,J. Gregus-MIN,J. Gregus-MIN
107091,K. Przybylko,Philadelphia Union,FWD,9.4,26,1.67%,6.15,$59K,DNP,160,PHI,5.0,K. Przybylko-PHI,K. Przybylko-PHI
