50_50/outcome/id,50_50/outcome/name,ball_receipt/outcome/id,ball_receipt/outcome/name,ball_recovery/recovery_failure,block/deflection,block/offensive,block/save_block,carry/end_location/0,carry/end_location/1,counterpress,dribble/nutmeg,dribble/outcome/id,dribble/outcome/name,dribble/overrun,duel/outcome/id,duel/outcome/name,duel/type/id,duel/type/name,duration,foul_committed/advantage,foul_committed/card/id,foul_committed/card/name,foul_committed/offensive,foul_committed/type/id,foul_committed/type/name,foul_won/advantage,foul_won/defensive,goalkeeper/body_part/id,goalkeeper/body_part/name,goalkeeper/end_location/0,goalkeeper/end_location/1,goalkeeper/outcome/id,goalkeeper/outcome/name,goalkeeper/position/id,goalkeeper/position/name,goalkeeper/technique/id,goalkeeper/technique/name,goalkeeper/type/id,goalkeeper/type/name,id,index,injury_stoppage/in_chain,interception/outcome/id,interception/outcome/name,location/0,location/1,minute,pass/aerial_won,pass/angle,pass/assisted_shot_id,pass/backheel,pass/body_part/id,pass/body_part/name,pass/cross,pass/cut_back,pass/deflected,pass/end_location/0,pass/end_location/1,pass/goal_assist,pass/height/id,pass/height/name,pass/length,pass/outcome/id,pass/outcome/name,pass/recipient/id,pass/recipient/name,pass/shot_assist,pass/switch,pass/technique/id,pass/technique/name,pass/through_ball,pass/type/id,pass/type/name,period,play_pattern/id,play_pattern/name,player/id,player/name,position/id,position/name,possession,possession_team/id,possession_team/name,related_events/0,related_events/1,related_events/2,related_events/3,related_events/4,second,shot/aerial_won,shot/body_part/id,shot/body_part/name,shot/end_location/0,shot/end_location/1,shot/end_location/2,shot/first_time,shot/freeze_frame/0/location/0,shot/freeze_frame/0/location/1,shot/freeze_frame/0/player/id,shot/freeze_frame/0/player/name,shot/freeze_frame/0/position/id,shot/freeze_frame/0/position/name,shot/freeze_frame/0/teammate,shot/freeze_frame/1/location/0,shot/freeze_frame/1/location/1,shot/freeze_frame/1/player/id,shot/freeze_frame/1/player/name,shot/freeze_frame/1/position/id,shot/freeze_frame/1/position/name,shot/freeze_frame/1/teammate,shot/freeze_frame/10/location/0,shot/freeze_frame/10/location/1,shot/freeze_frame/10/player/id,shot/freeze_frame/10/player/name,shot/freeze_frame/10/position/id,shot/freeze_frame/10/position/name,shot/freeze_frame/10/teammate,shot/freeze_frame/11/location/0,shot/freeze_frame/11/location/1,shot/freeze_frame/11/player/id,shot/freeze_frame/11/player/name,shot/freeze_frame/11/position/id,shot/freeze_frame/11/position/name,shot/freeze_frame/11/teammate,shot/freeze_frame/12/location/0,shot/freeze_frame/12/location/1,shot/freeze_frame/12/player/id,shot/freeze_frame/12/player/name,shot/freeze_frame/12/position/id,shot/freeze_frame/12/position/name,shot/freeze_frame/12/teammate,shot/freeze_frame/13/location/0,shot/freeze_frame/13/location/1,shot/freeze_frame/13/player/id,shot/freeze_frame/13/player/name,shot/freeze_frame/13/position/id,shot/freeze_frame/13/position/name,shot/freeze_frame/13/teammate,shot/freeze_frame/14/location/0,shot/freeze_frame/14/location/1,shot/freeze_frame/14/player/id,shot/freeze_frame/14/player/name,shot/freeze_frame/14/position/id,shot/freeze_frame/14/position/name,shot/freeze_frame/14/teammate,shot/freeze_frame/15/location/0,shot/freeze_frame/15/location/1,shot/freeze_frame/15/player/id,shot/freeze_frame/15/player/name,shot/freeze_frame/15/position/id,shot/freeze_frame/15/position/name,shot/freeze_frame/15/teammate,shot/freeze_frame/16/location/0,shot/freeze_frame/16/location/1,shot/freeze_frame/16/player/id,shot/freeze_frame/16/player/name,shot/freeze_frame/16/position/id,shot/freeze_frame/16/position/name,shot/freeze_frame/16/teammate,shot/freeze_frame/17/location/0,shot/freeze_frame/17/location/1,shot/freeze_frame/17/player/id,shot/freeze_frame/17/player/name,shot/freeze_frame/17/position/id,shot/freeze_frame/17/position/name,shot/freeze_frame/17/teammate,shot/freeze_frame/18/location/0,shot/freeze_frame/18/location/1,shot/freeze_frame/18/player/id,shot/freeze_frame/18/player/name,shot/freeze_frame/18/position/id,shot/freeze_frame/18/position/name,shot/freeze_frame/18/teammate,shot/freeze_frame/2/location/0,shot/freeze_frame/2/location/1,shot/freeze_frame/2/player/id,shot/freeze_frame/2/player/name,shot/freeze_frame/2/position/id,shot/freeze_frame/2/position/name,shot/freeze_frame/2/teammate,shot/freeze_frame/3/location/0,shot/freeze_frame/3/location/1,shot/freeze_frame/3/player/id,shot/freeze_frame/3/player/name,shot/freeze_frame/3/position/id,shot/freeze_frame/3/position/name,shot/freeze_frame/3/teammate,shot/freeze_frame/4/location/0,shot/freeze_frame/4/location/1,shot/freeze_frame/4/player/id,shot/freeze_frame/4/player/name,shot/freeze_frame/4/position/id,shot/freeze_frame/4/position/name,shot/freeze_frame/4/teammate,shot/freeze_frame/5/location/0,shot/freeze_frame/5/location/1,shot/freeze_frame/5/player/id,shot/freeze_frame/5/player/name,shot/freeze_frame/5/position/id,shot/freeze_frame/5/position/name,shot/freeze_frame/5/teammate,shot/freeze_frame/6/location/0,shot/freeze_frame/6/location/1,shot/freeze_frame/6/player/id,shot/freeze_frame/6/player/name,shot/freeze_frame/6/position/id,shot/freeze_frame/6/position/name,shot/freeze_frame/6/teammate,shot/freeze_frame/7/location/0,shot/freeze_frame/7/location/1,shot/freeze_frame/7/player/id,shot/freeze_frame/7/player/name,shot/freeze_frame/7/position/id,shot/freeze_frame/7/position/name,shot/freeze_frame/7/teammate,shot/freeze_frame/8/location/0,shot/freeze_frame/8/location/1,shot/freeze_frame/8/player/id,shot/freeze_frame/8/player/name,shot/freeze_frame/8/position/id,shot/freeze_frame/8/position/name,shot/freeze_frame/8/teammate,shot/freeze_frame/9/location/0,shot/freeze_frame/9/location/1,shot/freeze_frame/9/player/id,shot/freeze_frame/9/player/name,shot/freeze_frame/9/position/id,shot/freeze_frame/9/position/name,shot/freeze_frame/9/teammate,shot/key_pass_id,shot/one_on_one,shot/outcome/id,shot/outcome/name,shot/statsbomb_xg,shot/technique/id,shot/technique/name,shot/type/id,shot/type/name,substitution/outcome/id,substitution/outcome/name,substitution/replacement/id,substitution/replacement/name,tactics/formation,tactics/lineup/0/jersey_number,tactics/lineup/0/player/id,tactics/lineup/0/player/name,tactics/lineup/0/position/id,tactics/lineup/0/position/name,tactics/lineup/1/jersey_number,tactics/lineup/1/player/id,tactics/lineup/1/player/name,tactics/lineup/1/position/id,tactics/lineup/1/position/name,tactics/lineup/10/jersey_number,tactics/lineup/10/player/id,tactics/lineup/10/player/name,tactics/lineup/10/position/id,tactics/lineup/10/position/name,tactics/lineup/2/jersey_number,tactics/lineup/2/player/id,tactics/lineup/2/player/name,tactics/lineup/2/position/id,tactics/lineup/2/position/name,tactics/lineup/3/jersey_number,tactics/lineup/3/player/id,tactics/lineup/3/player/name,tactics/lineup/3/position/id,tactics/lineup/3/position/name,tactics/lineup/4/jersey_number,tactics/lineup/4/player/id,tactics/lineup/4/player/name,tactics/lineup/4/position/id,tactics/lineup/4/position/name,tactics/lineup/5/jersey_number,tactics/lineup/5/player/id,tactics/lineup/5/player/name,tactics/lineup/5/position/id,tactics/lineup/5/position/name,tactics/lineup/6/jersey_number,tactics/lineup/6/player/id,tactics/lineup/6/player/name,tactics/lineup/6/position/id,tactics/lineup/6/position/name,tactics/lineup/7/jersey_number,tactics/lineup/7/player/id,tactics/lineup/7/player/name,tactics/lineup/7/position/id,tactics/lineup/7/position/name,tactics/lineup/8/jersey_number,tactics/lineup/8/player/id,tactics/lineup/8/player/name,tactics/lineup/8/position/id,tactics/lineup/8/position/name,tactics/lineup/9/jersey_number,tactics/lineup/9/player/id,tactics/lineup/9/player/name,tactics/lineup/9/position/id,tactics/lineup/9/position/name,team/id,team/name,timestamp,type/id,type/name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,83468750-ce4d-493d-9ec2-560ee840f1c2,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,768,England,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,1,3468,Jordan Pickford,1,Goalkeeper,16,3314,Phil Jones,3,Right Center Back,19,3318,Marcus Rashford,24,Left Center Forward,5,3244,John Stones,4,Center Back,15,3645,Gary Cahill,5,Left Center Back,4,10956,Eric Dier,10,Center Defensive Midfield,22,3664,Trent Alexander-Arnold,12,Right Midfield,3,3594,Danny Rose,16,Left Midfield,21,3504,Ruben Loftus-Cheek,18,Right Attacking Midfield,17,4597,Fabian Delph,20,Left Attacking Midfield,11,10960,Jamie Vardy,22,Right Center Forward,768,England,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,73fc8d36-0999-41f7-ab40-c1bef74212fa,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,768,England,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,1,3509,Thibaut Courtois,1,Goalkeeper,23,6331,Leander Dendoncker,3,Right Center Back,21,3457,Michy Batshuayi Tunga,23,Center Forward,20,5639,Anga Dedryck Boyata,4,Center Back,3,6332,Thomas Vermaelen,5,Left Center Back,22,4831,Nacer Chadli,12,Right Midfield,19,3037,Moussa Sidi Yaya Dembélé,13,Right Center Midfield,17,2954,Youri Tielemans,15,Left Center Midfield,16,5632,Thorgan Hazard,16,Left Midfield,8,3296,Marouane Fellaini-Bakkioui,17,Right Wing,18,6330,Adnan Januzaj,21,Left Wing,782,Belgium,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46e75a98-dfc0-4ffc-bd9c-7a3cb7809c48,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,768,England,0bbec73c-6668-4d8d-bdf1-b65039dca172,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0bbec73c-6668-4d8d-bdf1-b65039dca172,4,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,768,England,46e75a98-dfc0-4ffc-bd9c-7a3cb7809c48,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,Belgium,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,1.279,,,,,,,,,,,,,,,,,,,,,f3e49ba1-cffc-4a07-9c99-acdf1529f088,5,,,,61.0,41.0,0,,-2.70175,,,40,Right Foot,,,,44.0,33.0,,1,Ground Pass,18.788294,,,3244,John Stones,,,,,,65,Kick Off,1,9,From Kick Off,3318,Marcus Rashford,24,Left Center Forward,2,768,England,2444d643-7378-4a93-80ae-d71808722516,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:00:00.920,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444d643-7378-4a93-80ae-d71808722516,6,,,,44.0,33.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,3244,John Stones,4,Center Back,2,768,England,f3e49ba1-cffc-4a07-9c99-acdf1529f088,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:00:02.199,42,Ball Receipt*,
,,,,,,,,45.0,36.0,,,,,,,,,,2.161,,,,,,,,,,,,,,,,,,,,,e6b46e26-c667-41e0-a6b7-b2e79a4bac22,7,,,,44.0,33.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,3244,John Stones,4,Center Back,2,768,England,2444d643-7378-4a93-80ae-d71808722516,480d0916-1ce7-4cd7-a769-bd3c7aa1eb64,624eb6b7-95e9-48d5-8e07-1ef6015f0ae0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:00:02.199,43,Carry,True
,,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,624eb6b7-95e9-48d5-8e07-1ef6015f0ae0,8,,,,72.0,39.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,3457,Michy Batshuayi Tunga,23,Center Forward,2,768,England,480d0916-1ce7-4cd7-a769-bd3c7aa1eb64,e6b46e26-c667-41e0-a6b7-b2e79a4bac22,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,Belgium,00:00:03.680,17,Pressure,
,,,,,,,,,,,,,,,,,,,1.359,,,,,,,,,,,,,,,,,,,,,480d0916-1ce7-4cd7-a769-bd3c7aa1eb64,9,,,,45.0,36.0,0,,1.1722739,,,40,Right Foot,,,,53.0,55.0,,1,Ground Pass,20.615528,,,3314,Phil Jones,,,,,,,,1,9,From Kick Off,3244,John Stones,4,Center Back,2,768,England,624eb6b7-95e9-48d5-8e07-1ef6015f0ae0,6a898f3e-8c56-4981-9943-cda99c8a3f7d,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,England,00:00:04.360,30,Pass,True
